ANO,Código da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Município,Mortalidade infantil,Probabilidade de sobrevivência até 60 anos,Taxa de analfabetismo - 25 anos ou mais,Taxa de frequência líquida ao fundamental,Taxa de frequência líquida ao médio,Taxa de frequência líquida à pré-escola,Taxa de frequência líquida ao superior,% de 25 anos ou mais com médio completo,% de 25 anos ou mais com superior completo,Renda per capita máxima do 1º quinto mais pobre,Renda per capita mínima do décimo mais rico,% de extremamente pobres,Renda per capita,Renda per capita média do 1º quinto mais pobre,Renda per capita média do décimo mais rico,% de empregados com carteira - 18 anos ou mais,% de empregados sem carteira - 18 anos ou mais,% da população em domicílios com água encanada,% da população em domicílios com energia elétrica,% de mulheres de 10 a 14 anos que tiveram filhos,% de mulheres de 15 a 17 anos que tiveram filhos,% de pessoas em domicílios sem energia elétrica,População residente masculina,População residente feminina,População rural,População total,População urbana,População total em domicílios particulares permanentes,IDHM,IDHM Educação,IDHM Longevidade,IDHM Renda,Sigla da Unidade da Federação,Nome das Grandes Regiões,PIB per capita a preços correntes,% de empregados total - 18 anos ou mais
2010,26,Pernambuco,260100,ANGELIM,26.7,82.01,41.61,93.48,28.46,48.27,2.89,15.06,2.79,33.6,513.5,27.85,253.26,18.9,1125.15,9.1,24.14,74.85,99.45,0.0,8.97,0.55,5018,5184,4115,10202,6087,10193,0.572,0.448,0.751,0.555,PE,Nordeste,4124.37,33.24
2010,26,Pernambuco,260105,ARAÇOIABA,24.4,83.34,31.18,93.34,30.0,69.42,1.76,17.88,1.61,78.56,450.0,16.32,236.1,38.68,758.9,52.1,21.89,80.12,99.73,0.0,8.77,0.27,9027,9129,2888,18156,15268,18055,0.592,0.498,0.765,0.544,PE,Nordeste,3550.52,73.99000000000001
2010,26,Pernambuco,260110,ARARIPINA,21.0,85.37,31.93,91.55,24.86,50.47,7.31,17.41,6.12,78.18,565.0,17.75,324.01,39.35,1439.16,17.97,32.21,57.12,97.69,0.39,12.98,2.31,37836,39466,30394,77302,46908,77085,0.602,0.467,0.785,0.595,PE,Nordeste,5347.29,50.18
2010,26,Pernambuco,260120,ARCOVERDE,18.9,86.66,21.46,92.82,30.04,61.33,9.04,33.05,9.33,101.43,1000.0,13.31,469.53,54.61,2149.63,28.87,27.55,88.64,99.19,0.59,5.2,0.81,32369,36424,6125,68793,62668,68019,0.667,0.567,0.799,0.654,PE,Nordeste,6013.25,56.42
2010,26,Pernambuco,260130,BARRA DE GUABIRABA,31.6,79.31,44.24,89.8,29.13,51.59,2.44,15.28,2.25,78.0,510.0,17.45,257.4,40.79,975.0,22.42,43.33,95.85,98.95,0.67,12.07,1.05,6515,6261,1386,12776,11390,12751,0.577,0.474,0.726,0.558,PE,Nordeste,4030.61,65.75
2010,26,Pernambuco,260140,BARREIROS,30.6,79.8,29.38,90.12,26.76,47.87,4.56,24.79,4.19,63.75,555.0,21.12,263.2,21.33,1076.99,42.22,24.31,82.06,99.54,0.87,13.78,0.46,19885,20847,6750,40732,33982,39670,0.586,0.491,0.73,0.561,PE,Nordeste,4941.81,66.53
2010,26,Pernambuco,260150,BELÉM DE MARIA,27.1,81.78,42.55,96.63,40.17,53.61,2.71,15.35,1.91,79.14,510.0,15.21,226.82,50.7,779.33,9.55,36.51,66.88,99.96,0.0,3.07,0.04,5635,5718,3362,11353,7991,11194,0.578,0.479,0.749,0.537,PE,Nordeste,4065.64,46.06
2010,26,Pernambuco,260160,BELÉM DO SÃO FRANCISCO,21.1,85.26,27.47,91.8,38.42,41.36,15.08,27.58,8.58,58.8,670.0,22.24,357.77,26.12,1826.84,10.92,36.56,65.45,97.67,0.0,9.97,2.33,9960,10293,7671,20253,12582,20177,0.642,0.553,0.784,0.611,PE,Nordeste,5170.02,47.480000000000004
2010,26,Pernambuco,260170,BELO JARDIM,21.4,85.09,31.01,93.06,30.17,66.4,7.91,22.12,6.6,103.0,710.0,12.11,372.93,57.35,1455.44,28.65,28.16,88.91,99.34,0.0,5.71,0.66,34780,37652,14199,72432,58233,72258,0.629,0.514,0.783,0.617,PE,Nordeste,10835.77,56.81
2010,26,Pernambuco,260180,BETÂNIA,28.4,81.05,41.91,88.72,37.97,42.35,5.28,10.76,3.05,29.0,510.0,31.35,220.19,19.28,802.39,16.54,37.39,69.88,98.89,0.77,14.83,1.11,6008,5995,8291,12003,3712,11951,0.559,0.441,0.742,0.533,PE,Nordeste,4052.99,53.93
