id_geografico,id_terra_indigena,terra_indigena,etnia,nome_municipio,sigla_uf,area,fase,modalidade,reestudo,indicador_faixa_fronteira,id_unidade_administrativa,sigla_unidade_administrativa,unidade_administrativa,geometria
249,8501,Camicua,Apurinã,Boca do Acre,AM,58519.5999,Regularizada,Tradicionalmente ocupada,,FALSE,30202001845,CR-ALPUR,Coordenacao Regional Alto Purus,"POLYGON((-67.62311895 -8.48101932, -67.62572892 -8.48005921999999, -67.62852434 -8.47970896000001, -67.63035602 -8.4801044, -67.63178905 -8.48078624, -67.63610108 -8.48673044, -67.63785067 -8.48762147000001, -67.64294462 -8.48876826999999, -67.6421706 -8.49125027000001, -67.64352888 -8.49262985000001, -67.64200461 -8.49421326, -67.64194421 -8.49657414000001, -67.64281113 -8.49869217000001, -67.64365052 -8.49928846000001, -67.64518206 -8.49942107, -67.64622548 -8.50063529000001, -67.64625578 -8.50122395, -67.64535805 -8.50253959000001, -67.64376805 -8.50330675999999, -67.64230344 -8.50452733, -67.64209025 -8.50516832, -67.64352548 -8.50615793, -67.6433375 -8.50850556, -67.64392551 -8.50893437000001, -67.64492683 -8.50897940000001, -67.64640776 -8.50720375000001, -67.64716324 -8.50698433, -67.64859565 -8.50789478, -67.6488808 -8.50924926000001, -67.64818659 -8.51192219000001, -67.64671426 -8.51393520000001, -67.64258036 -8.51648806000001, -67.63958236 -8.5177787, -67.63762041 -8.52032782000001, -67.63860322 -8.52086636000002, -67.64388604 -8.52168918, -67.6619259 -8.52820086000001, -67.66246527 -8.52878965000002, -67.66256477 -8.52978075000001, -67.66067772 -8.53263532000001, -67.66061447 -8.53465293000001, -67.66176587 -8.53783462000001, -67.66265803 -8.53887774000001, -67.66442896 -8.53908982000001, -67.66689261 -8.53684910000001, -67.6682593 -8.53292988000001, -67.66816107 -8.52846247000002, -67.66877246 -8.52752624000001, -67.66949881 -8.52725492, -67.67138449 -8.52787675000001, -67.67129482 -8.53016799, -67.67215239 -8.53100985000002, -67.67467877 -8.53050078, -67.67684318 -8.531289, -67.67966576 -8.53042653000002, -67.68262024 -8.53119639, -67.68286102 -8.53507783999999, -67.68177479 -8.53595116000002, -67.67858274 -8.537152, -67.67806348 -8.53862189000001, -67.67959562 -8.54026776000002, -67.68656893 -8.54332827, -67.68673913 -8.54451044000001, -67.68313584 -8.54539992000001, -67.68411305 -8.54702958000002, -67.68494046 -8.54753794000001, -67.68838376 -8.54574750999999, -67.69160418 -8.53832397, -67.69328217 -8.53722791000001, -67.69657034 -8.53917406, -67.6964564 -8.54004034999999, -67.69692043 -8.54105397, -67.69505558 -8.54301007, -67.69629622 -8.5431346, -67.69687654 -8.54434661000001, -67.69890497 -8.54638876000001, -67.70068875 -8.54695215, -67.70106522 -8.54680719, -67.70130843 -8.5447485, -67.70266207 -8.54198284, -67.70575171 -8.53871751000001, -67.70758972 -8.53777433000002, -67.71222553 -8.53803719000001, -67.71373362 -8.53876842000001, -67.71405208 -8.5405261, -67.71225159 -8.54299908000001, -67.7128344 -8.54452768, -67.7138687 -8.54497602000002, -67.71842688 -8.54435264000002, -67.72503345 -8.54132694000001, -67.73353433 -8.54239772, -67.73352527 -8.54538954000001, -67.73190955 -8.54594679000001, -67.72705059 -8.56621958999999, -67.73010634 -8.61041570000002, -67.72677659 -8.61925110000002, -67.72108045 -8.62874979, -67.71191394 -8.63880961, -67.70032786 -8.64908623000001, -67.66358972 -8.67680271, -67.66285512 -8.67759401000002, -67.66224371 -8.67950758, -67.66118772 -8.68021328000002, -67.65960786 -8.68348083, -67.65322637 -8.69092053000002, -67.65129079 -8.69218505000001, -67.64829078 -8.69318743, -67.64541402 -8.69334053, -67.64244841 -8.69305662000001, -67.63895519 -8.69177881, -67.63043976 -8.69708396000001, -67.63029788 -8.70014334, -67.59279889 -8.7268297, -67.57699519 -8.72586603000002, -67.56854706 -8.73499992000001, -67.55457425 -8.73536317000001, -67.54263592 -8.7373899, -67.53566135 -8.74383165000002, -67.51758194 -8.73885942000002, -67.50168456 -8.74353281000001, -67.49640884 -8.75291925, -67.48360576 -8.74700469, -67.46707886 -8.74219572000001, -67.45851855 -8.7421132, -67.45647076 -8.74430687, -67.45357832 -8.74155298, -67.45068988 -8.74239278000001, -67.44646376 -8.74694325000001, -67.44551845 -8.74919575999999, -67.44274386 -8.74892175000001, -67.43529625 -8.74544418000002, -67.4291189 -8.74562233, -67.42524535 -8.74463729000001, -67.42288123 -8.74738819, -67.41416113 -8.74442075, -67.41394264 -8.74116864000001, -67.40606229 -8.73752863, -67.407229235503 -8.735979874196, -67.407945802613 -8.73406958386931, -67.408668097887 -8.72997559156109, -67.407890387047 -8.72502483142052, -67.407150090569 -8.723744763615, -67.40512244675 -8.72218097297721, -67.402144796548 -8.7220971108365, -67.400869455729 -8.72253100695982, -67.398292446005 -8.724389471206, -67.395338325503 -8.72576946801511, -67.392624523543 -8.72692372934671, -67.391018511608 -8.72712545484921, -67.388251422236 -8.72665660615581, -67.384697806689 -8.72427737536782, -67.382779861181 -8.7222551686935, -67.381999059239 -8.7195923549743, -67.382132942205 -8.71823028899611, -67.3838426666 -8.71457325052031, -67.385935341461 -8.7116933388393, -67.391663773132 -8.70747705423141, -67.394994485403 -8.704216059295, -67.396841371327 -8.70176178383241, -67.39800382 -8.69763109000001, -67.40004573 -8.69626600000001, -67.40113722 -8.69753249, -67.43796846 -8.69819735000002, -67.44807931 -8.68391447999999, -67.44285461 -8.65285821000001, -67.45233058 -8.65116859000001, -67.47746908 -8.60385684, -67.48426872 -8.59224599000001, -67.4949926 -8.58030828, -67.49684553 -8.57925881, -67.49738787 -8.57791053000001, -67.49712868 -8.57449355000001, -67.49747014 -8.57337229000001, -67.49824954 -8.57305514000001, -67.50004726 -8.57350472000002, -67.50415599 -8.57654395000001, -67.50770201 -8.57657283000001, -67.50945915 -8.57564113, -67.51141734 -8.57246581, -67.51275613 -8.57127539999999, -67.5145862 -8.57035005000002, -67.51661533 -8.57015763, -67.51860573 -8.56939414000001, -67.51985649 -8.57510178, -67.52221113 -8.57763681, -67.52342006 -8.57814153000001, -67.52918277 -8.57864051000001, -67.53096955 -8.57828013, -67.53293866 -8.57617003, -67.53432969 -8.57365703, -67.53465304 -8.57001815999999, -67.5342808 -8.56775907000001, -67.53267372 -8.56503135000002, -67.52780883 -8.56472167, -67.52662529 -8.56416321000001, -67.52557609 -8.56203276, -67.52578242 -8.56044071000001, -67.52888674 -8.55754361000001, -67.53012487 -8.55507112, -67.53186427 -8.55288978, -67.53954441 -8.54605959000001, -67.54150522 -8.54599285000002, -67.54415153 -8.54754930000001, -67.54570955 -8.55018177, -67.54658538 -8.55330410999999, -67.54871753 -8.55420878, -67.54974631 -8.55375108, -67.55130711 -8.55216584, -67.55026566 -8.54823035, -67.5506868 -8.54604122, -67.55213438 -8.54383475000001, -67.55338114 -8.54286779, -67.55481384 -8.54277497, -67.5571589 -8.54151529000002, -67.55895977 -8.5415508, -67.56170211 -8.54526969, -67.56548239 -8.54853049, -67.56532221 -8.55165268000002, -67.56434063 -8.55190628000001, -67.56102273 -8.54886746, -67.55755909 -8.54910000000002, -67.55454995 -8.55084905, -67.55300912 -8.55298829, -67.55260134 -8.55478956000001, -67.55350705 -8.55646679000001, -67.55565088 -8.55819862000001, -67.55923307 -8.55898325000001, -67.56173641 -8.55883617000002, -67.5631438 -8.55803975000002, -67.56867741 -8.55320219000002, -67.56930654 -8.55023132, -67.56857106 -8.54621528000001, -67.56874174 -8.54414048000001, -67.57027634 -8.53905219, -67.57224087 -8.53580697, -67.57316896 -8.53331022000001, -67.57489156 -8.53091849000001, -67.58155534 -8.52819121, -67.58298555 -8.52828335000001, -67.58359362 -8.52876444000001, -67.58395509 -8.53097945000001, -67.58271386 -8.53537957, -67.58306431 -8.53804395, -67.58368995 -8.53926392000001, -67.58511919 -8.54058853000003, -67.585792 -8.54084729000001, -67.58721708 -8.54054335, -67.591626 -8.53401041000001, -67.5915673 -8.53288558000002, -67.58979571 -8.52861470000001, -67.58967311 -8.52571375000001, -67.59334925 -8.52028008000001, -67.5953283 -8.51314367, -67.59641705 -8.51258722, -67.5980876 -8.51355152000001, -67.59989276 -8.51371013000001, -67.60112453 -8.51308718, -67.60462943 -8.50668255000001, -67.60552185 -8.50319266000001, -67.60540216 -8.50188510000001, -67.602075 -8.49477105000002, -67.60223058 -8.49378864, -67.60372152 -8.49329783000002, -67.60597008 -8.49340627000001, -67.60767001 -8.49266187000002, -67.6106124 -8.48728907000001, -67.61422537 -8.48464879000001, -67.61510119 -8.48043785, -67.61635467 -8.48042169, -67.61879873 -8.48268891, -67.62026571 -8.48279751, -67.62311895 -8.48101932))"
1315,15601,Igarapé Capana,Jamamadí,Boca do Acre,AM,122555.6647,Regularizada,Tradicionalmente ocupada,,FALSE,30202001845,CR-ALPUR,Coordenacao Regional Alto Purus,"POLYGON((-68.0026920349277 -8.69476860778759, -68.0042634322481 -8.69376319969803, -68.0055135526732 -8.69219796407185, -68.0063207999896 -8.68902252385869, -68.006553457261 -8.68483926303862, -68.0075403990205 -8.68160471472829, -68.0119011277127 -8.67645682502968, -68.0160491822022 -8.67289867907018, -68.0169627742617 -8.67586113445318, -68.0193525666926 -8.679460389854, -68.0250238666553 -8.69019101722997, -68.0288988412887 -8.69478068584244, -68.0375455006685 -8.70672204222064, -68.0441688570512 -8.71182764882291, -68.048194030526 -8.71651652853508, -68.0583042913152 -8.72266484163868, -68.0613036766517 -8.72357628710711, -68.0639654634788 -8.72398138059095, -68.074196195236 -8.72350758821257, -68.081342483224 -8.72418155942633, -68.0869137622593 -8.72052761582007, -68.0885637195841 -8.71872841775298, -68.0908059082637 -8.71457948297433, -68.0938232746037 -8.71120225990861, -68.0971760829216 -8.70946483298962, -68.1030943321181 -8.70846969494131, -68.1126052112375 -8.70796882494608, -68.118603593206 -8.70954480899695, -68.1201967316109 -8.7107788062839, -68.1214148393651 -8.71266764793194, -68.1223510973516 -8.71526947127546, -68.1223833029216 -8.71824654948523, -68.1983089042367 -8.70812087679736, -68.2019101981598 -8.70930768808694, -68.2032843507077 -8.71075087561208, -68.2034828387934 -8.71307103632507, -68.2031375137977 -8.71732552043608, -68.2016857004792 -8.72165533476193, -68.2014980446265 -8.72339231949515, -68.2021039479711 -8.72707655769945, -68.2041980111244 -8.73232265936771, -68.2057214555431 -8.73268003336142, -68.2063706243145 -8.733947441814, -68.2086275115496 -8.73492800511883, -68.2093141869661 -8.73669461742435, -68.2106127251192 -8.73734993996442, -68.2120357531327 -8.73699076045444, -68.2139626555015 -8.73555059288595, -68.2160252576459 -8.73573897044254, -68.2186459412161 -8.73718918652658, -68.2198740355197 -8.73837393518483, -68.2212432614608 -8.74109036437507, -68.2227713586743 -8.74109614952023, -68.2238265235066 -8.74204125938553, -68.2261030587277 -8.74117669464723, -68.2270516289649 -8.74218714093644, -68.2290412865183 -8.74236926274786, -68.2308938305766 -8.74464639190706, -68.2308913224352 -8.74599006820262, -68.2316790339503 -8.74754201212159, -68.233577030667 -8.74887778760401, -68.2344692994158 -8.7510142433581, -68.239131322253 -8.75537515794089, -68.243542211827 -8.75537201413716, -68.2440852978188 -8.75717864329017, -68.247225532389 -8.75888149832122, -68.2481012857707 -8.75988562666606, -68.2498023704903 -8.76387142031576, -68.2552362102294 -8.76865120080527, -68.2593772339866 -8.7717570957322, -68.2613427122482 -8.77224699918567, -68.2621217023419 -8.77379893757343, -68.2628510262657 -8.77384243520454, -68.2636971713079 -8.77291579152353, -68.2643123807236 -8.77283176643131, -68.264853990774 -8.77342653538665, -68.2716820350427 -8.78734734384363, -68.2756675061489 -8.79320645652825, -68.2769687480771 -8.7941507385006, -68.2799471329938 -8.79797458040889, -68.2853978353217 -8.80755458176766, -68.2904073754526 -8.81305907790808, -68.2940830369209 -8.81794531461737, -68.3006495518406 -8.83110877212146, -68.3016668944274 -8.83453895072153, -68.3020195053483 -8.8400305131538, -68.3014178846279 -8.85154494028143, -68.3026754686211 -8.85367556982061, -68.3052532312548 -8.85629271722218, -68.3115571136005 -8.86042188349479, -68.3177780220814 -8.86681875429844, -68.3233942884237 -8.87149077758898, -68.3336145487008 -8.87341017699639, -68.3372610752484 -8.87354193231728, -68.3398019481867 -8.87434712306248, -68.4351140794434 -8.93637525197717, -68.4329762302679 -8.94136988667236, -68.4298691489788 -8.94579575356379, -68.426815971967 -8.95336994042027, -68.4249072492781 -8.95568854588157, -68.4180872330306 -8.95807879672612, -68.4122457126496 -8.96239782170147, -68.406067377492 -8.96422857554502, -68.4027704566549 -8.96574857035923, -68.3999911900807 -8.96746841536869, -68.3979127311882 -8.96941629954898, -68.3953337220903 -8.97407744939325, -68.3959719241431 -8.98133762707346, -68.3948724075747 -8.98815456699026, -68.393572455782 -8.99270608472558, -68.3915096935134 -8.99526797112152, -68.3887964191256 -8.99772289367474, -68.3802376913076 -9.00102249863727, -68.3754750572754 -9.00186118999211, -68.3715694265892 -8.99934961508013, -68.3675304896037 -8.99804546190866, -68.3637585648017 -8.99749476348013, -68.3556184517079 -8.99921585482383, -68.3451560025824 -8.99886525084981, -68.3381792476675 -8.99919029675601, -68.3323767473211 -8.99906707780622, -68.3312001592877 -8.99877791515549, -68.329010232609 -8.99705217545431, -68.3232818783072 -8.99696107988091, -68.3343345966732 -9.05845939670543, -68.311840475856 -9.04941925321203, -68.3163956027087 -9.034392002166, -68.2961000008686 -9.02562493607121, -68.2747108952221 -9.03719759413008, -68.2500622942788 -9.04265041609932, -68.2548818267515 -9.00209162861684, -68.2204786814518 -9.01463359977091, -68.1790084613793 -9.00219556711079, -68.1743232532916 -8.96391367056561, -68.0757452504664 -8.94872265352952, -68.0761332119351 -8.93563250409716, -68.0672134844616 -8.94022336845467, -68.0454687078045 -8.94379285917047, -68.0160992519663 -8.94272874929937, -67.9981051877922 -8.93607615896724, -67.9853711270938 -8.93409922462206, -67.9249671325226 -8.93707307784378, -67.9167822868844 -8.92589682285946, -67.916493458136 -8.92314800893763, -67.9159444149053 -8.92187374893213, -67.9107262759022 -8.9163251460302, -67.9079052938202 -8.91491194988778, -67.9094522417348 -8.91208580409627, -67.9138341996679 -8.90869057372306, -67.91392641038 -8.90730670446687, -67.9129553294343 -8.9047744148898, -67.9084865682296 -8.90024998728706, -67.9076873591494 -8.89839724447496, -67.9084630954408 -8.89704129749282, -67.9096790364251 -8.89601231422887, -67.9119834599083 -8.89442502924215, -67.9143936448074 -8.8934582272293, -67.9164055969609 -8.88970972055695, -67.9136490924597 -8.8880599323041, -67.9235549021137 -8.88446472538214, -67.9249440712264 -8.88320971666167, -67.9282839864892 -8.87614240305176, -67.9293349424254 -8.87200698729107, -67.9294468093296 -8.86758031801311, -67.9286646926261 -8.86616668993561, -67.910450310033 -8.85521929328463, -67.9063054510038 -8.85150884184373, -67.9006404226122 -8.84539093265914, -67.8992907052918 -8.84339954272737, -67.8959047374009 -8.83311006868418, -67.8918886985317 -8.82798728073733, -67.8900518205058 -8.82370927394442, -67.8894136383591 -8.82009161202478, -67.8870131810395 -8.81701212446182, -67.8891021508685 -8.81669083189184, -67.8950441278958 -8.81698728274729, -67.8984206315662 -8.81655810654831, -67.9021743664362 -8.81385546758692, -67.9068719717978 -8.80680151340631, -67.9121488403013 -8.80158227241306, -67.9176568282256 -8.79750424858339, -67.9681177442996 -8.73792576163999, -67.9672883031453 -8.73595994406078, -67.9646247323716 -8.73311034302025, -67.9632586359022 -8.73089994842559, -67.9587369766419 -8.72148815363299, -67.9572621900869 -8.71760239984065, -67.9566233091204 -8.71369555553828, -67.956272863854 -8.70755423628942, -67.9573366487005 -8.70370094112992, -67.9599289586001 -8.69818443976499, -67.9611446223985 -8.69233027750874, -67.9609986131921 -8.69063002903068, -67.9659794406156 -8.68888786698592, -67.9726064959448 -8.68836169918376, -67.9796965101964 -8.68372266153233, -67.9815994536373 -8.68354937559037, -67.9831727890241 -8.68403830244371, -67.9850923473114 -8.68550815946662, -67.9877158789433 -8.69020519444705, -67.9927854200948 -8.69321503716169, -67.9952240780797 -8.6968636348836, -67.9961429748039 -8.69975780319038, -68.0007614540073 -8.6980545712628, -68.0026920349277 -8.69476860778759))"
1379,22201,Kaxinawá Colônia Vinte e Sete,Kaxinawá,Tarauacá,AC,105.1664,Regularizada,Tradicionalmente ocupada,,FALSE,30202001852,CR-JUR,Coordenacao Regional Do Juruá,"POLYGON((-70.7826698023795 -8.10530833659898, -70.7827530931176 -8.10470598881729, -70.7785045170345 -8.10388404074393, -70.7778522048698 -8.10114886666241, -70.7844876853901 -8.09447963888118, -70.7856031423522 -8.0978562690492, -70.7872101196596 -8.09806196201317, -70.7890870362721 -8.10076600116368, -70.7883915199796 -8.10170505615332, -70.7896425624362 -8.10570130853336, -70.7896056954556 -8.1071786565437, -70.7876271154284 -8.10848100072365, -70.7863283067376 -8.10868861771293, -70.7864547556817 -8.10633083929634, -70.7826698023795 -8.10530833659898))"
1447,29201,Miratu,Miránha,Uarini,AM,13198.788,Regularizada,Tradicionalmente ocupada,,FALSE,30202001857,CR-AS,Coordenacao Regional Do Alto Solimoes,"POLYGON((-65.2775394695838 -2.9780594156763, -65.2867090685791 -2.99834384889971, -65.2864266064421 -2.99973061464693, -65.2969829766134 -3.0044578449639, -65.3033700151789 -3.03195377360038, -65.3080986722417 -3.05973185892548, -65.3089279549621 -3.06834535200279, -65.2919893338721 -3.07695800278568, -65.2708702000092 -3.08584570078261, -65.2675325602915 -3.08416830627431, -65.2621108673452 -3.0802502571554, -65.2499601343331 -3.07635762735868, -65.2447733189469 -3.0733594108271, -65.2434248383327 -3.07345325596374, -65.240738786234 -3.07467004358394, -65.2353045489529 -3.07463770256435, -65.2289984597537 -3.07638007500885, -65.2277844379819 -3.07642815989813, -65.2244424631 -3.07517623379909, -65.2237525564585 -3.07629251401188, -65.2222181719479 -3.07667221884788, -65.2103013830147 -3.07446200591017, -65.2097872230806 -3.07348237493665, -65.2103371588249 -3.07188834052625, -65.2094806201734 -3.07000715247069, -65.2105419984296 -3.06913546061821, -65.2117674674759 -3.06676247648717, -65.2116537346005 -3.06536165546096, -65.2109875274182 -3.0644634437603, -65.2094097006217 -3.06328180585241, -65.2066828025997 -3.06233383447483, -65.2006338274793 -3.06286647099068, -65.1986483911461 -3.06227463517905, -65.1976551989076 -3.06107802683027, -65.1980487015419 -3.05828760559081, -65.2002186956134 -3.05589599950161, -65.2021982739392 -3.05250365631082, -65.2025863159588 -3.05090241376872, -65.202391808026 -3.04951124617134, -65.2015965727569 -3.0483125844791, -65.200010407391 -3.04718413915498, -65.1994298441162 -3.04242488998649, -65.1986131302287 -3.04174996765973, -65.1974235305542 -3.04154916617336, -65.1948493026789 -3.04314617124102, -65.1914871842492 -3.05112277957876, -65.188917101584 -3.05053682487585, -65.1875302275977 -3.04953939435325, -65.1859420230086 -3.04735487952109, -65.1837495808445 -3.0389911977448, -65.1821572269578 -3.03639842162221, -65.1773955970287 -3.03441473626856, -65.1754090047693 -3.03023735772422, -65.1700421932594 -3.02367147809117, -65.1669054472339 -3.01786374535732, -65.1670360820046 -3.01570587280174, -65.1640951056803 -3.0105438746403, -65.1643300133359 -3.00976939807066, -65.1655295832127 -3.00919818128905, -65.1655854159354 -3.00850538873249, -65.1643976954245 -3.00673354481564, -65.1619488659835 -3.00654523899711, -65.1588522637725 -3.00547595978852, -65.1573528770662 -3.00226057414704, -65.1574563493255 -3.00182465945968, -65.1596677396811 -3.00166928488068, -65.1617811692346 -2.99810695542794, -65.1621663480948 -2.99531638759725, -65.1617057603774 -2.99250768918245, -65.1642591235358 -2.99236669501096, -65.1674168540782 -2.98975247311781, -65.1694833066433 -2.98862242024138, -65.1972659944676 -2.98723428939822, -65.2047592335601 -2.98195020563016, -65.2130968287584 -2.97917789303483, -65.2242036387717 -2.97889781674514, -65.2417060213046 -2.97945834490885, -65.274765978186 -2.97778575354398, -65.2775394695838 -2.9780594156763))"
1279,12001,Estrela da Paz,Tikúna,Jutaí,AM,12876.4893,Regularizada,Tradicionalmente ocupada,,FALSE,30202001857,CR-AS,Coordenacao Regional Do Alto Solimoes,"POLYGON((-66.8178072454343 -2.76997087271742, -66.8155185675733 -2.76711905644756, -66.8162220673362 -2.76482662256314, -66.8180153396437 -2.76514288704243, -66.823940857132 -2.76829137322632, -66.8303935738295 -2.77029607091157, -66.8365253820202 -2.77502111302057, -66.8437015743557 -2.77901141308179, -66.848062372676 -2.77888552846322, -66.8678951036144 -2.80009031057592, -66.8728883385084 -2.8042615625892, -66.8979306663077 -2.82133951430819, -66.9037331396029 -2.82383408262235, -66.9096646194055 -2.82579795419458, -66.9161325397603 -2.82906988626411, -66.920009908995 -2.83232583217426, -66.921738123473 -2.8348291264909, -66.927255098392 -2.84466326699102, -66.9208499440658 -2.84537734556348, -66.9181962124777 -2.8485283709083, -66.9087826003896 -2.85442600258233, -66.9047977859348 -2.86549407099757, -66.9016622711746 -2.86897710920261, -66.8966913834045 -2.87163383692325, -66.8989956168009 -2.87649441155755, -66.8994193739138 -2.87894156111971, -66.9012759036331 -2.88239586672615, -66.901268622535 -2.88411575464545, -66.9036967904258 -2.88642593000071, -66.9068773409023 -2.88845428332087, -66.8999407483229 -2.90162854102342, -66.8345130810866 -2.91834312857414, -66.8242654673532 -2.86698940624884, -66.8105288926129 -2.84451027946012, -66.8108205159739 -2.8424426283412, -66.8124369802767 -2.83900191821857, -66.812509565542 -2.83503983108074, -66.8138248090805 -2.83441681238873, -66.8135498397719 -2.83154367524976, -66.812762831912 -2.82953185590152, -66.8111083940389 -2.82797053620903, -66.8093065813686 -2.82529031911419, -66.809817050592 -2.82347617343051, -66.8113000019052 -2.82175740544636, -66.8112997637775 -2.81850189746337, -66.8120207509326 -2.81701194199587, -66.8107864739262 -2.81601947769981, -66.8107419765258 -2.8152523963691, -66.8113131461105 -2.81484923013499, -66.8121266664494 -2.81521101193534, -66.8137829699004 -2.81694883193125, -66.8153029233597 -2.81126847397809, -66.814836425244 -2.80813272055218, -66.8158707597082 -2.80731876793135, -66.81827755405 -2.80779577206489, -66.8195997741765 -2.80617591107301, -66.8181568424235 -2.80501805058459, -66.8185707847157 -2.80178465536791, -66.8148183170363 -2.79673438356043, -66.8154898223407 -2.79400990626339, -66.8145894407531 -2.7906582031729, -66.8122236660231 -2.78899837874689, -66.8138919068608 -2.78775425631808, -66.8144655995307 -2.78676002665113, -66.8124919541019 -2.78394906707416, -66.8125742195776 -2.7824307279809, -66.8131815910814 -2.78204489550115, -66.8152504053859 -2.78205815566201, -66.8157312732164 -2.77997978258635, -66.8183859795117 -2.77764891997773, -66.8164847638528 -2.7756929376936, -66.816697419235 -2.77457906652256, -66.8174009208017 -2.77393638906437, -66.8188213308164 -2.77551812948452, -66.820971278858 -2.77390728968148, -66.8196931115723 -2.77299453428551, -66.8177444096845 -2.77327107040379, -66.8173181620845 -2.77294917128483, -66.8178072454343 -2.76997087271742))"
1672,52201,Barro Alto,Kokama,Tonantins,AM,1937.1679,Regularizada,Tradicionalmente ocupada,,FALSE,30202001857,CR-AS,Coordenacao Regional Do Alto Solimoes,"MULTIPOLYGON(((-67.6538577834458 -2.80132102183627, -67.6569071110787 -2.80133905583881, -67.6724599135379 -2.80905764205176, -67.6550507851189 -2.83362277901545, -67.6447592505812 -2.83122629414561, -67.6467044767235 -2.82765130859019, -67.6450495626899 -2.8246365086281, -67.652430731407 -2.80081846154678, -67.6538577834458 -2.80132102183627)), ((-67.6738100927873 -2.78628693591999, -67.6707103748562 -2.78427338616605, -67.6735939886661 -2.77553603206696, -67.6706825239697 -2.77345867272471, -67.6961769853952 -2.70945671752208, -67.7128282744907 -2.69958482998249, -67.6779666300341 -2.79097012840447, -67.6776074950493 -2.78949707495476, -67.6764928435383 -2.78802380054999, -67.6739696954843 -2.7868566444343, -67.6738100927873 -2.78628693591999)))"
1525,36801,Porto Praia,Tikúna,Uarini,AM,4769.8617,Regularizada,Tradicionalmente ocupada,,FALSE,30202001857,CR-AS,Coordenacao Regional Do Alto Solimoes,"POLYGON((-65.1227282696582 -2.86319352326319, -65.1280431518555 -2.85822561819355, -65.1389687606514 -2.85365540366224, -65.1516891270367 -2.85255036076012, -65.1552112014532 -2.85100477695325, -65.1639361581438 -2.84575921885301, -65.163905568022 -2.85000162264652, -65.1652346669602 -2.8543907547769, -65.1654974915899 -2.85735237701103, -65.1666765157648 -2.86201800736496, -65.1666849820202 -2.86471581512457, -65.1674537411632 -2.86880849809178, -65.1670028116886 -2.86960268011865, -65.1677042421021 -2.8705011370173, -65.1686623954812 -2.87372225593334, -65.1694183346345 -2.8801490223969, -65.1691237467831 -2.88128781440486, -65.1659504895962 -2.88330641484352, -65.1643563310803 -2.88491928127553, -65.1629397298006 -2.88720492546014, -65.1630984188766 -2.88778912251769, -65.1645633573802 -2.88675434248398, -65.1688508309891 -2.88279913135699, -65.1697455346233 -2.88322532966874, -65.1701557382979 -2.88468566006357, -65.1698099763992 -2.88883342306321, -65.1666237572546 -2.8949878139559, -65.1619851827429 -2.8989022625151, -65.1570290971153 -2.90435526826821, -65.1511698172274 -2.90490930162311, -65.1438377804585 -2.90480312917283, -65.1392717055843 -2.90695988919492, -65.1343071500578 -2.91065605626967, -65.1250633572301 -2.91369282410854, -65.1200739211546 -2.91488641688597, -65.1197998627957 -2.91536839241896, -65.1175334851398 -2.91631358180803, -65.1147136010209 -2.9167759828709, -65.1115768031565 -2.91793382297317, -65.1098159567777 -2.9190605188693, -65.1048909556736 -2.91949906563799, -65.0915102039513 -2.90902147204667, -65.0894136204729 -2.90803870368099, -65.0851661089682 -2.90694359287029, -65.0782986964033 -2.90652182364909, -65.0779145305573 -2.90165401254519, -65.0791557665658 -2.89948275642575, -65.0814000230237 -2.89902610797504, -65.0818422603751 -2.89696765619408, -65.0818310439436 -2.89485204346091, -65.08079376672 -2.89247080182754, -65.0788085939535 -2.89070651104039, -65.0789058032633 -2.88961367477384, -65.0802180241318 -2.88767469688332, -65.0816129138441 -2.88682683082107, -65.0965720989017 -2.88139240548918, -65.1106983564056 -2.87449286055869, -65.1151293825507 -2.87138805171766, -65.1227282696582 -2.86319352326319))"
