Id,Situação atual de trabalho,Setor,Cargo Atual,Nivel,Faixa salarial,Tempo de experiência na área de dados,Satisfação na empresa atual,Motivo de insatisfação com a empresa atual,Falta de oportunidade de crescimento no emprego atual,Salário atual não corresponde ao mercado,Não tenho uma boa relação com meu líder/gestor,Gostaria de trabalhar em em outra área de atuação,Gostaria de receber mais benefícios,O clima de trabalho/ambiente não é bom,Falta de maturidade analítica na empresa,Remuneração/Salário,Benefícios,Propósito do trabalho e da empresa
0rjkvzh2lso0ry6omu8uk030mxjr0q6f,Empregado (CLT),Outra Opção,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,0.0,Não estar efetivamente atuando na área pra que fui contratada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0rzo8uhs2710bhyk0rzo8up4313jz70o,Empregado (CLT),Internet/Ecommerce,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,0.0,"Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0saxujz921fw22ii6pq0saxff4o4ykqm,Estagiário,Setor Público,Estatístico,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,0.0,"Gostaria de trabalhar em em outra área de atuação, Falta de oportunidade de crescimento no emprego atual",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0u56ftri7si1mms0u56foo9gircbx9mq,Empregado (CLT),Finanças ou Bancos,Outra Opção,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,0.0,"Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa, Gostaria de trabalhar em em outra área de atuação",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
0ueqxxqa5mevx9duao0ueqxxq0ulfwgw,Empreendedor ou Empregado (CNPJ),Área da Saúde,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,0.0,Falta de maturidade analítica na empresa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0uouqjo6urvaxld80uouqvcm2jmmxov2,Empreendedor ou Empregado (CNPJ),Finanças ou Bancos,Outra Opção,Pleno,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,0.0,Gostaria de trabalhar em em outra área de atuação,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0zr4jo7c2j6hk60zr5ka7i9gysbve324,Empregado (CLT),Área da Saúde,Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,0.0,"Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios",0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0zutq4iuaabxdj4q77fe0zutq4pw7zd6,Empregado (CLT),Varejo,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,0.0,Salário atual não corresponde ao mercado,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1090quptpl5ltqvdun1090oc8ei3abyj,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Internet/Ecommerce,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 6 anos,0.0,"O clima de trabalho/ambiente não é bom, Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado",1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10cadv3wxu1tjhhijcmv10cadv31hon9,Empregado (CLT),Telecomunicação,Cientista de Dados/Data Scientist,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,0.0,"Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
