Id,Situação atual de trabalho,Setor,Cargo Atual,Nivel,Faixa salarial,Tempo de experiência na área de dados,Satisfação na empresa atual,Motivo de insatisfação com a empresa atual,Falta de oportunidade de crescimento no emprego atual,Salário atual não corresponde ao mercado,Não tenho uma boa relação com meu líder/gestor,Gostaria de trabalhar em em outra área de atuação,Gostaria de receber mais benefícios,O clima de trabalho/ambiente não é bom,Falta de maturidade analítica na empresa,Remuneração/Salário,Benefícios,Propósito do trabalho e da empresa
2bv2h8lgdnc4sw378l8re4m82bv2h8lg,Empregado (CLT),Área de Consultoria,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,0.0,"O clima de trabalho/ambiente não é bom, Gostaria de trabalhar em em outra área de atuação",0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2bzdly3mzm4szklx2bzd3zjuffdql60s,Empregado (CLT),Tecnologia/Fábrica de Software,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,0.0,"Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual, Gostaria de receber mais benefícios",1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2cgkmqaboicc7d2cgd16huf8fffsoy40,Empregado (CLT),Finanças ou Bancos,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,0.0,"Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação",1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2cmdahu7hiwj9711j9k02cmdaq0sw85j,Empregado (CLT),Varejo,Analista de Suporte/Analista Técnico,Pleno,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,0.0,"Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado",1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2d0h56ie7awmez2olgsb2d0h56ihb420,Empregado (CLT),Varejo,Cientista de Dados/Data Scientist,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,0.0,"Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2e4smyebort4brdom2e4s8tehd3bmnh2,Empregado (CLT),Tecnologia/Fábrica de Software,Analista de BI/BI Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,0.0,Falta de oportunidade de crescimento no emprego atual,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2faf7uswxnid3iqts2fafbhukaz2rvax,Empregado (CLT),Telecomunicação,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 7 a 10 anos,0.0,"Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2ff2fwwwqsu3b2ff2fgg3jecxej3pfr4,Empregado (CLT),Área da Saúde,Analista de BI/BI Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,0.0,"Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios, Falta de maturidade analítica na empresa",0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2fjxj0lrrnkpjfgrv2fjxjp54ynrsvdf,Empreendedor ou Empregado (CNPJ),Outra Opção,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,0.0,"Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual, Legado",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2hyq6ticv3pgnvp5rxh2hyqig5ogr2u0,Empregado (CLT),Tecnologia/Fábrica de Software,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,0.0,"Não tenho uma boa relação com meu líder/gestor, Gostaria de trabalhar em em outra área de atuação, O clima de trabalho/ambiente não é bom",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
