Id,Faixa idade,Gênero,Cor/raça/etnia,PCD,vive_no_brasil,uf onde mora,Regiao onde mora,Nivel de Ensino,Área de Formação
vxv6qbgije94bvx7xvxv6qbu13nn7j4h,17-21,Masculino,Branca,Não,1,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
vy5xav1u69qseaxdoovy5xw0tbpd85v6,30-34,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
vy956m0paymk65dn169ctrkgvy956msm,30-34,Masculino,Branca,Não,1,SP,Sudeste,Mestrado,Outras Engenharias
vyf4cjg0t8zbu4j53fc0evyf4cjm326y,30-34,Masculino,Branca,Não,1,MG,Sudeste,Graduação/Bacharelado,Outras Engenharias
vyhm4dlfgx5ucnfajvyhm4d0uvljz3s3,17-21,Feminino,Preta,Não,1,GO,Centro-oeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
vyifqbbiwd5wg2ygntqvyifqbv8doi45,25-29,Feminino,Parda,Não,1,AL,Nordeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
vyx64vbse5ilvyx64g3goma2bi7dvblj,30-34,Feminino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
vz0xytnv5ph6bbh3etvz0x7rwzm8214m,30-34,Feminino,Branca,Não,1,SE,Nordeste,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
vz33bp3l0jdlvzzbikx2hreiuzcr8fy3,30-34,Feminino,Branca,Não,1,RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
vz84vr94w9wj2c7rbe6vz84u8fundh02,40-44,Masculino,Branca,Não,1,MG,Sudeste,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
vz8b9at2wk32es5vz8b9afx8u4els3uu,45-49,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
vzbizv8ywdihhog1ktvzbizw00yd41hu,30-34,Masculino,Branca,Não,1,RN,Nordeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
vzi2plumbi9bfp62vzi2plecrcw3ruo7,30-34,Feminino,Amarela,Não,1,PR,Sul,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
vzj3gquaf9m1d8vzj3gw71f6ipom678k,30-34,Feminino,Parda,Não,1,SP,Sudeste,Doutorado ou Phd,Outras Engenharias
vzwvt85tuwsfspwzxovzwmhwduhqyxnf,30-34,Masculino,Branca,Não,1,SP,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w0fmc0vaoqkkfldkzog6w0fmcrwdgswl,25-29,Masculino,Branca,Não,1,PI,Nordeste,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
w18rce4blykiu0w18rc8x0kw6r3gu311,22-24,Masculino,Branca,Não,1,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w1vjeecdlxx0pxx4yj9weiww1vjestoo,45-49,Masculino,Parda,Não,1,RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w21uudbdvlbh6ioz82gw21uudhuvc4rn,25-29,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w27r2yjwh544b9f6rzfuiw27r2y8cau0,25-29,Feminino,Branca,Não,1,RJ,Sudeste,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
w2lvucrzelxhegij9tzw2lvucrx7spgo,30-34,Feminino,Branca,Não,1,RS,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w2wtvoy7zldfvwolhgcew2wtvo3o5dyl,30-34,Masculino,Branca,Não,1,RS,Sul,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w32qydak4p89axqgbw32qc5n2ipn2fwi,25-29,Feminino,Parda,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w35sv021fpp7bw352f1dvv6gimk14x8s,40-44,Masculino,Parda,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w3olucuhs5qebztco9zw3oluc4xigbzw,22-24,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Ciências Sociais
w3p1qqy6cdhkiz10l8w3p1owcupetc5j,25-29,Masculino,Branca,Não,1,PR,Sul,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
w3q0ku27jq85a635fqkw3q004bv3i5kc,25-29,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias
w3zds9ml1ikz1cortr7w3zdsqigwgcro,22-24,Masculino,Parda,Não,1,PE,Nordeste,Graduação/Bacharelado,Outras Engenharias
w4cirkuv688wv61nz2w4cirzrpfqmxor,35-39,Masculino,Branca,Não,1,ES,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w4ghhfyu4zgltah9xh4lw4ghhfamnfsq,25-29,Feminino,Branca,Não,1,RN,Nordeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
w4hxefnl3bng8w4hxp5ottitc0r437dm,25-29,Masculino,Branca,Não,1,MG,Sudeste,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
w4ikr3sr7ka5yn94zw4iukc29vj4cncc,22-24,Masculino,Parda,Não,1,SP,Sudeste,Graduação/Bacharelado,Ciências Sociais
w4itmwpum8l1no3hfga1w4itmw8wdnpk,35-39,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w4sn7fr68khybw4s6cml8o2ypaf1kjex,55+,Masculino,Branca,Não,1,SC,Sul,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w4vxtfazp9rb6ngyh4pacw4vxtgtetyp,50-54,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w5e0fze71cjyw5eixuv1nm64ru8092ix,35-39,Masculino,Branca,Não,1,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w5uookir73dvu15o1xw5uoodlugp8b0t,25-29,Masculino,Branca,Não,1,RJ,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w5xlidswy7kno30llgvky5dw5xlids64,25-29,Masculino,Branca,Não,1,MG,Sudeste,Graduação/Bacharelado,Outras Engenharias
w5y1tylg5nxa9d6qlw5y1tyl3n0fyjsp,25-29,Masculino,Preta,Não,1,SP,Sudeste,Estudante de Graduação,Outras Engenharias
w62ll27e7dha788ou4lwuhssw62ll27m,30-34,Masculino,Preta,Não,1,RJ,Sudeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
w63prwcs7ftz5gw63pp2kju35vlrzvam,55+,Feminino,Parda,Não,1,DF,Centro-oeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w6ibrrao20bswjwooz2w6ibrrkx88b83,35-39,Masculino,Indígena,Não,1,SP,Sudeste,Doutorado ou Phd,Química / Física
w6jzctdmezbzy87ow6jzctbzsiwknxg4,22-24,Masculino,Parda,Não,1,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w6tvtybz0jy6xi3ywmw6tv2durpgs61u,22-24,Masculino,Branca,Não,1,RS,Sul,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
w6x8f68pgni0e88lenmw6x8f6o5tkd87,35-39,Masculino,Branca,Não,1,SC,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w7bil8ks7uepacmqqjw7bil8kri4r9r1,25-29,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Outras Engenharias
w7emapr4qws4jwe5mysw7emapfm58ml0,22-24,Masculino,Branca,Não,1,SP,Sudeste,Estudante de Graduação,Outra opção
w7jd04qe4t8jrqgjpe1jw7jd04qi1ofo,30-34,Feminino,Branca,Não,1,SC,Sul,Mestrado,Outras Engenharias
w7uy0nd5xk8u3s1802w7uylg1cqel8qq,25-29,Masculino,Branca,Não,1,SC,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w7wwxgjsgjzpujtbgw7wwy1vey6n2aci,30-34,Masculino,Branca,Não,1,SC,Sul,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
w7ymzdfnhtl29m1elukbtw7ymzd4m3nh,25-29,Masculino,Parda,Não,1,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
w8n7o6fzsvmp4eorwa2w8n7o6faje06r,30-34,Masculino,Preta,Não,1,SP,Sudeste,Pós-graduação,Outras Engenharias
w8qid05qo2wty2w1cb8w8q8s04rcfci9,30-34,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w8yj89gr6nua42y8tw8yj89gac4jnv6o,25-29,Masculino,Parda,Não,1,SP,Sudeste,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
w91xms81fz7cu1i2cu47w91xmsys9yc9,22-24,Masculino,Branca,Não,1,SC,Sul,Graduação/Bacharelado,Outras Engenharias
w92z5dwn1jngdv1w92zvbr5o57w0el65,22-24,Masculino,Branca,Não,1,PR,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w99n9svxwuw8i2kgvgw3w6iwy88qbxok,25-29,Masculino,Parda,Não,1,MG,Sudeste,Pós-graduação,Outras Engenharias
w9qzjbpuli3nez8viw9qzjbi4ha88ctl,25-29,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
w9tmsiwngz9g748bnnwjw9tmsipch0ez,25-29,Masculino,Branca,Não,1,RO,Norte,Graduação/Bacharelado,Outras Engenharias
w9wr825wljvtdq4fieiw9w9mnopn02xz,35-39,Masculino,Preta,Não,1,PR,Sul,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
wa1lb0zjx614nznwayn1pmjrkujvirxu,25-29,Masculino,Parda,Não,1,PE,Nordeste,Estudante de Graduação,Outra opção
wa28hiq5u37jvmcaq8mit54wa28hiq3m,50-54,Masculino,Branca,Não,1,SC,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
wa7fv9gh3ido0i0ebwa7fvi8iyhlqyf7,30-34,Masculino,Preta,Não,1,CE,Nordeste,Graduação/Bacharelado,Química / Física
wap3j6o7bsg9zy7wkdhwap3lig84juum,25-29,Masculino,Parda,Não,1,DF,Centro-oeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
waz6edbq97n0nipzshwaz6ed50wno04d,25-29,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias
