Id,Objetivo na área de dados,Oportunidade buscada na área de dados,Tempo de busca de oportunidade na área de dados,Como tem sido a busca por um emprego na área de dados,Texto_Preprocessado,Cluster
1hpefgywviw2i1k51hpefgyp1naqo4yj,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
1hy19fbspo2n1hy1od9uxdgq4744p5b2,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
1l546sl2qyr21wm8jjh2hd1l546smwar,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
1s1lyz6kdu1ukc41s18fml0xicbrc9l0,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,0 - 6 meses,"Participei de mais de 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
1ycfmqxl1azr4shspbvnu1ycfmqxlx8v,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
21pjvyninw8oz0xr5ik21pjvc6wqlihp,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
22bragf5rnsy7g6kr22brak7fw9stjff,Trabalho na área de dados e busco realocação,,,,trabalho área dado busco realocação,4
24kvki339tqa3124kvha8amv24vf3hjc,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
24zrisoyw05okxrw24zri6uh44ccwd3w,Já estou na área,,,,área,4
2ajb8ujlurlun7u02ajb80znskg9kcqw,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
2c7juxhup71zc0r2c7jul1mv8bhgdesm,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
2dsmv08ccmecfeo7inhoh62dsmv08dr9,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
2g22nny5rnef2eteu12g22nny5nrgvsb,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
2haev4mfhhuasy13sn2haevhovkbwdy2,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
2jnfh4pnmxrh08iu60y72jnfh4p6sasy,Trabalhar para o exterior.,,,,trabalhar exterior,4
2nelrp3ficnqqhvt5n70i2nelrp3fwgr,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
2qbkq2dwmnco2xjpy3m2r9b2qbkq0okv,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
2rfdn0p7i570l2rf6fruj14jksa7s8cy,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Engenheiro de Machine Learning/ML Engineer,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
2s9073qb84vw51rzb2s9z4w5jqsn9vcl,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Negócios/Business Analyst,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
2tovlrslzbrk53dlz8ca6c2tovlrvcik,Manutenção: atualização constante para me manter na área de dados.,,,,manutenção atualização constant manter área dado,4
2vjsqirr9zmo3zvjc2vjsq8lgkcvs15g,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,1 ano - 2 anos,"Participei de mais de 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
2vu3ia9jkcrvfc6cy8rfzj2vu3imn0jz,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
2zem0hajs8qn65aaqcn2zem0hneq1tb1,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,7 meses - 1 ano,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
331m2uvm2rpxpapokrn331m2uv5xf3m5,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
36csvutlx0ee8by6ha36csspk47yx3c6,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
384cwj50e6mc541cx384cwh3j2dvcl92,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
38atlf1n2jisxi4uw7d2619l38atlf1j,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
3cbozl2s3muqswwf9oz3cbozlnirkf09,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
3f6ansd42qsgc0x3f6aauzxr88slvn7k,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
3fb6yv35a1zhnm1u2iah73fb6ohbm69r,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
3fks8iinvqubfh986y9ov3fks8iyfv0b,"Já entrei na área. Meu objetivo é, então, crescer dentro da engenharia de dados.",,,,entrei área objetivo então crescer dentro engenharia dado,4
3hx0gahyn2leg353t51ra3hx0gah91g7,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
3lrv1opq0fvu4d2zs987kt3lrv1obq68,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
3p6oaw56m6t0axy5tn3p6p5290d87j34,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,primeiro emprego tentando encontrar primeira oportunidad área dado,1
3vqg22ws5x494qvlt3vqg2h9q55o5w34,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
3w0mcukbzz9txbhric13w0mcukbs4zrk,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
3w4ra5vbre5c5f66q3w4ra5he2r5k25o,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
3x07i1lz3gg4cimrvpelh3x07i1laq0t,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
42ltw1bes3ndd20rcdjh42lyt8103i6u,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
458i2hlxkfx9n9pjyku458i2gf4syyav,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
4ax61f83lrfic4ax61sqsgtfpc9xhme9,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
4beice2rbc7sz73x4bekz426jkvruypl,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
4jo8s5ekpo4790044gt94kdsfd84alg4,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
4ncu28aktaedi0rqhx4ncu2hzj0h3ng6,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
4t15i58c8viv4t1wiiui15ocz6p4vt1w,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
