Id,Objetivo na área de dados,Oportunidade buscada na área de dados,Tempo de busca de oportunidade na área de dados,Como tem sido a busca por um emprego na área de dados,Texto_Preprocessado,Cluster
8f22jvm9t8kfaedwg3h8f22jvlz9npbl,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
8fjl38tao7yk7xm8fjl3py1qmy1byxm5,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,1 ano - 2 anos,"Participei de mais de 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
8jze1ak1le8qk68jze1a7ggnrgnrim7k,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,acima de 2 anos,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
8pllqj64trszyp78plakgodrtdh59tlc,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de BI/BI Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
8qfb1898yz07u2tfep88qfb1ibfk6y3n,Continuar trabalhando na área de dados,,,,continuar trabalhando área dado,4
8rf65hk8avycy28rf6qt34hkt7fx3n1q,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
8ry7fhbo39gdirxwnouzqn8ry7fhbtz8,Aprofundamento em Gov de dados. Trabalgei por 25 anos na area de dados. Agora aposentada querome manter atualizada e colaborar onde for necessario,,,,aprofundamento gov dado trabalgei 25 ano area dado agora aposentada querom manter atualizada colaborar ond necessario,4
8u9a4r690wznxo7ek78u9a1u7rzuznf0,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,primeiro emprego tentando encontrar primeira oportunidad área dado,1
8wgx0amp1ytuhnob6h8wgx0lf3ox6t1q,"Já migrei de outra área para Dados, busco me qualificar para posições de liderança",,,,migrei outra área dado busco qualificar posiçõ liderança,4
8wq56alj8ogvfyy6vb2g8wq56alxwhr3,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
8z0vsjfufvp3nl5s18z0two0bsa0dgpy,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
90j96sn6727mku4l90j96v5vn4jcsuso,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
93fnfpbfutgkd9gc71lq8p93fnfp99az,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,1 ano - 2 anos,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
96a4ws94n4479gfg69i02596a4ws94nf,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de BI/BI Analyst,7 meses - 1 ano,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
99ocafs5hnzkiag99ocafh3ub2jlz6dn,Aperfeiçoamento,,,,aperfeiçoamento,4
9c6dbj4qrqcnpfqqqtxjz9c6dbj4n6hm,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,"Participei de mais de 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
9cjrns1ibt1vh3ps7chm59cjrnsat2me,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
9dmmvzp8j985azloz9dmufw7prr2gh0m,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,7 meses - 1 ano,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
9iyhjwkx9ipk1fulym9n4l9iyhjjkbxi,"Já atuei na área de dados, fiquei desempregada. Agora estou em busca de recolocação",,,,atuei área dado fiquei desempregada agora busca recolocação,4
9m5zsavhk6ke06szwod9m5zsavhbeptj,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,7 meses - 1 ano,,migração carreira trabalho outra área busco recolocação área dado,2
9nf0jl4agih5mylx9nf0jlvridoc4qj2,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,7 meses - 1 ano,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
9ny47aohkat9p85glrox0v9ny47xp3r5,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
9poaqd7noefunj8xmhbam49poaqd74mn,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de BI/BI Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
9x46slstdi7po1aacj0j9x46svs1czkc,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
a0rsdvry3tr72c1e17a0rsdvbkfqqi6x,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
a5zhku1ktleacq4atpa5zhkvwkc9la1j,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,1 ano - 2 anos,"Participei de mais de 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
a6tf5o2qwozai4d49a6tf5o2k3rjkvby,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
a6thqtc1ryb0qsr7qt28a6thgu7utwda,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
aanmhevgx70nulaigodaanmdq6ludbmw,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,1 ano - 2 anos,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
ab7f1lfbc8jbh7goslab7f1iyn4ssr2u,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,acima de 2 anos,"Participei de mais de 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
aco8g3xrujouyn8e1aco8gdqlwclgzww,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,1 ano - 2 anos,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
affjypvy9he0je48vfj5mj7affjypb9p,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
afskx2kwdy6asx135pafskxly65w8s8u,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
ag283xsig1j5lmc2ag283boqh3yrxx1m,Já tenho atuação na área de dados e busco aprimoramento,,,,atuação área dado busco aprimoramento,4
ajtq9qg299dcgv2120kqajtq9qjmwkhh,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,acima de 2 anos,,migração carreira trabalho outra área busco recolocação área dado,2
amw3pci1k062x9k43gamw300bpc1h18q,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
an6k3putrzb8dyyyzean61zh19rkc57t,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
andq4m4xilhxio45qandq4cv3op36xbg,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
aogb36ihj3z5g3chaogb36gl8focf5lj,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
aqhnlgf9s3p4aq8z42ffyxmr01id9b2y,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Desenvolvedor,1 ano - 2 anos,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
asaay0s17l1l53evneasafrmm5i0dtwf,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
assf0itcr9r2as5xsaakqta7aotcdxgn,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
auh10h1piftkq0jmaumrb158kmqm2x8x,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,primeiro emprego tentando encontrar primeira oportunidad área dado,1
autv5hh39us30juxoiczautv5qqdr8di,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
azvu80rsxjqhm3xqegfvhazvu80bo7zl,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
b075chlfhgl6twudecxpb075hgt9izt6,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
b0m485fk21btdxygh3lw1b0m4t7m67ks,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,1 ano - 2 anos,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
b249wl2yhnwpcb249vqv6ia4gl9317ak,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
b3xzqqnx6e7b3x9kqj6dx38adhs4npvi,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
b5072qxqlazakpbxvynogyzk5ut9kggs,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
bab1m0lmv9qkye525vbab1m0lx9bvdip,Sou profissional da área e procurando uma nova oportunidade após pedir demissão para concluir o mestrado,,,,profission área procurando nova oportunidad apó pedir demissão concluir mestrado,4
bf7tvubxelr3ufzpumibf7tvq6vcj8fp,Criar uma aplicação evolucionária para a humanidade.,,,,criar aplicação evolucionária humanidad,4
bfqlif5991ohzfj1ftvrjbfqlif59z22,"Comecei meu mestrado, e por conseguinte a pesquisa, na área de inteligência artificial, como uma forma de fazer pesquisa em linguística computacional. A área tinha poucos institutos com foco principal nessa área em 2009, quando comecei meu mestrado.",,,,comecei mestrado conseguint pesquisa área inteligência artifici forma fazer pesquisa linguística computacion área pouco instituto foco princip nessa área 2009 comecei mestrado,4
btmsssvsnacveqqptczwbtmahdkzsz2o,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
bttgr3eussj9ev735hli96sibttgr36f,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
bu5lvlc6gyqda2fjui4cbu5lv82lns9c,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de BI/BI Analyst,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,primeiro emprego tentando encontrar primeira oportunidad área dado,1
buji1lc6igvlp1r96hfkbuo22xunlzxb,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
bxbazsk7v50b30noddbxbazdvmtxtjmk,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
c0opl985qe299w043ekrmc0opl9m12pt,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
c3awusk12jpbx2v3wkc3awusaiod199n,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
c3nh7483qxz5rq1jur5keoc3nh748567,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,"Já participei de 1 a 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
c4cn98rxaiui4reu9vc4cn9kahmqoc3h,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
c7kxe7x3jeyskszk9c73hzn569ckaziw,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
cb2q1q6xyd6n46gjy9ncb2q116z9f0kj,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
cc1ongas7w66elm7celv9dcc1ongaeko,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
cccsbyrn2yqeypkmllcccsb335cc9ivp,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
cj5ocdh4r8jgwq6l8yygk2h7cj5ocdh4,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
ck3tovnf15307wiylwack3tovnflcixl,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
cknojgiwpm0yd213xcknojgi265vikzu,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Engenheiro de Machine Learning/ML Engineer,7 meses - 1 ano,"Participei de mais de 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
cl8d9yuxm3yyk45j883cl8d9yenalq2z,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
cmhimybfam8e0azds6z5xcmhimv2zn14,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,acima de 2 anos,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
cqt4dgchttdwe3z0b2rcqtso4f6x1872,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Engenheiro de Machine Learning/ML Engineer,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,primeiro emprego tentando encontrar primeira oportunidad área dado,1
cr3wswnvt5hy0yq01cr3wsd9kyeaeibl,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
csk2t418optfvw3t7aplf2lcsk2t418q,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Participei de mais de 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
cv4r222yc0osehjj9x6wecv4rd6m4p3z,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
cv60t9xycu1dnk08cv60lbsciishmc4a,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
cwar239y54ytxgxr5cware9ajsz2ys0i,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
da5nc3cmjfgydblda5nc3efyrq5i6snf,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
dew40iv74k7hsmfwhy5uldew40ivsqzb,Procurando recolocação na área de dados.,,,,procurando recolocação área dado,4
dgj719jwx2x04zzyl28dgj719jwx1z3a,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
djvauqy21jywmjdjvauq8lwm9ld0nu0d,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,1 ano - 2 anos,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
dneou9hamko2fmx85r3q83dneou9ham1,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,1 ano - 2 anos,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
dqr35fdmvykqljedqr35p4zk34eantdd,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
dtd1sq8jvosk5sjshdtd1egp9ooqjg9t,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
dtn9sopryfd0vaj0amdtn9s8m9mk52f7,Já tenho experiência na área,,,,experiência área,4
e24xmhol3ggmfv7m93e24xpu569yhaa0,Sou da área de Dados.,,,,área dado,4
e36g9n0xc3a8myanmnxsie36g9n0u6t2,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,acima de 2 anos,"Participei de mais de 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
e3bc9ufcjccuhite3bqme8u6eoa8hesq,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
e7h6sblfbbmahhu55q43e7h65ouar4sr,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,acima de 2 anos,Participei de mais de 3 entrevistas e fui contratada em algumas,migração carreira trabalho outra área busco recolocação área dado,2
ec844c52ber7qhg5jiaiec844c6d67dc,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,Ainda não me candidatei a nenhuma vaga na área,migração carreira trabalho outra área busco recolocação área dado,2
ed9hnoqd9e482uqed9hnfac2qkvu9tch,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
ee7qov124anv4oee7qov0ug5k9fkx5ux,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
eej3t1ctdg9kbclesteej3oatbz30b4c,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
efqv0pf1pxeobsolkefqv0pfczcwvq6g,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
eilo1q7j7szbla5eilo9m9pywwqlsry8,"Já trabalho na área, mas meu cargo é financiado pela Fapesp (bolsa PIP) busco mais conhecimento para subir na carreira",,,,trabalho área cargo financiado fapesp bolsa pip busco conhecimento subir carreira,4
ekaiv6dy7y6th5orekaiv6bj7gghbur6,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,1 ano - 2 anos,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
eq87mqccwrbyxapmnteq87misnhx8a5h,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
esjqh8uf2li2lc2jq0fesjqh8uqnbd4o,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
esqxkam98a22t197awesqxbvt5p6e7wj,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,1 ano - 2 anos,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
evog86saz41a8evop8r8wq3p6afeahkk,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
ewuyuxtzataqgz6ndki3zewuy3zf8pvm,Recolocação em cargo de gestão,,,,recolocação cargo gestão,4
ezajeedbo1dbo89ezaji1b4xptmcfkw3,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
ezu8umr0uwlanh4rsmqpnezu8umrd49j,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
fezezcg2utxgu5c5fgefezezcjnwc0fy,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
fi49ecwcjb0bb39wgafi49evl1bme8lk,Apenas conhecimentos: Busco conhecimentos em dados para utilizar na minha área de atuação (não trabalho na área de dados),,,,apena conhecimento busco conhecimento dado utilizar área atuação trabalho área dado,0
fmgx92esgvc7odt8y9fmgx9nafhj9d2i,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
fmvxmq69xo1l2bdwcwfmvxmnqsdrzzj5,Crescimento profissional (já atuo na área de dados),,,,crescimento profission atuo área dado,4
fngrogdzp3qxbe9v6ifngrooz750ydwc,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Dados/Data Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
fo64e1o4yf46553dpzqfo64wubphm7rh,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Analista de Negócios/Business Analyst,0 - 6 meses,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
fo6xqs474inpu4yzk97f1fo6xqs4zmhc,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Cientista de Dados/Data Scientist,acima de 2 anos,"Já me candidatei, mas nunca fui chamado para entrevistas",primeiro emprego tentando encontrar primeira oportunidad área dado,1
fpmcscsgw3b047n8fzfpmce1gzuho9q8,Primeiro emprego: Estou tentando encontrar a primeira oportunidade na área de dados,Analista de Dados/Data Analyst,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",primeiro emprego tentando encontrar primeira oportunidad área dado,1
fqhstruytghkt61xapjfqhstrkrylya2,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
frrp0fqkujtuzab4ziy4yfrrp0fqxtx8,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
ft08h28ugk7m4q4d9ft08s29crdat9zw,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,acima de 2 anos,"Já me candidatei, mas nunca fui chamado para entrevistas",migração carreira trabalho outra área busco recolocação área dado,2
fu25jm6jqwwiunv63xfu2ksgj8ycgjed,Preparação profissional: Estou buscando conhecimentos técnicos para no futuro assumir algum cargo na área de dados,,,,preparação profission buscando conhecimento técnico futuro assumir algum cargo área dado,3
fv7rbpdu40tga3wjxqfv7rbqqzyx0l9q,Migração de carreira: Trabalho em outra área e busco recolocação na área de dados,Cientista de Dados/Data Scientist,7 meses - 1 ano,"Já participei de 1 a 3 entrevistas, mas não fui contratado",migração carreira trabalho outra área busco recolocação área dado,2
