CO_IES,NU_ANO_CENSO,NO_UF,SG_UF,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,NO_CINE_AREA_GERAL,QT_VG_TOTAL,QT_INSCRITO_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_CONC,QT_CONC_MASC,QT_CONC_FEM,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_DEFICIENTE,QT_CONC_DEFICIENTE,NO_IES
1,2012,Mato Grosso,MT,1,1,Educação,47.0,630.0,39.0,31.0,8.0,19.0,7.0,11.0,1.0,0.0,1.0,25.0,6.0,19.0,5.0,1.0,13.0,2.0,0.0,4.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,9.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,"Engenharia, produção e construção",47.0,543.0,39.0,27.0,12.0,18.0,6.0,15.0,0.0,0.0,0.0,5.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Saúde e bem-estar,47.0,694.0,42.0,27.0,15.0,20.0,7.0,14.0,1.0,0.0,0.0,32.0,8.0,24.0,15.0,1.0,9.0,0.0,0.0,7.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,211.0,28.0,7.0,3.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,47.0,566.0,26.0,14.0,12.0,6.0,4.0,15.0,0.0,0.0,1.0,19.0,9.0,10.0,10.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,47.0,547.0,41.0,16.0,25.0,11.0,4.0,25.0,1.0,0.0,0.0,11.0,2.0,9.0,2.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,47.0,502.0,43.0,26.0,17.0,8.0,4.0,30.0,1.0,0.0,0.0,11.0,6.0,5.0,7.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Negócios, administração e direito",92.0,441.0,90.0,36.0,54.0,31.0,11.0,45.0,2.0,0.0,1.0,48.0,24.0,24.0,17.0,7.0,23.0,1.0,0.0,0.0,2.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,"Negócios, administração e direito",106.0,2412.0,105.0,47.0,58.0,46.0,19.0,34.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Educação,64.0,1030.0,72.0,45.0,27.0,29.0,14.0,23.0,3.0,0.0,3.0,49.0,8.0,41.0,24.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
